Timestamp (LOCAL_TIME),SPSQC:EXTRACTED_INTENSITY,SPS.BLM.21636.ZS1:LOSS_CYCLE,SPS.BLM.21652.ZS2:LOSS_CYCLE,SPS.BLM.21658.ZS3:LOSS_CYCLE,SPS.BLM.21674.ZS4:LOSS_CYCLE,SPS.BLM.21680.ZS5:LOSS_CYCLE,SPS.BLM.21694.TCE:LOSS_CYCLE,SPS.BLM.21772.TPST:LOSS_CYCLE,SPS.BLM.21775.MST1:LOSS_CYCLE,SPS.BLM.21776.MST1:LOSS_CYCLE,SPS.BLM.21792.MST3:LOSS_CYCLE,SPS.BLM.21796.MST3:LOSS_CYCLE,SPS.BLM.21835.MSE1:LOSS_CYCLE,SPS.BLM.21839.MSE2:LOSS_CYCLE,SPS.BLM.21905.QDA:LOSS_CYCLE,ZS.LSS2.GIRDER:DO_PPM,ZS.LSS2.GIRDER:UP_PPM,ZS1.LSS2.ANODE:DO_PPM,ZS1.LSS2.ANODE:UP_PPM,ZS2.LSS2.ANODE:DO_PPM,ZS2.LSS2.ANODE:UP_PPM,ZS3.LSS2.ANODE:DO_PPM,ZS3.LSS2.ANODE:UP_PPM,ZS4.LSS2.ANODE:DO_PPM,ZS4.LSS2.ANODE:UP_PPM,ZS5.LSS2.ANODE:DO_PPM,ZS5.LSS2.ANODE:UP_PPM
00:08.5,4.67E+01,6.79E-05,0.000147017,0.000214871,0.000192253,0.000169635,0.000169635,4.52E-05,3.39E-05,3.39E-05,2.26E-05,2.26E-05,1.13E-05,1.13E-05,3.39E-05,42.768,68.13,-0.277,0.001,-0.541,0.458,0.441,-0.061,0.685,0.146,0.569,0.624
00:08.5,4.20E+01,6.29E-05,0.000150956,0.000226434,0.000213855,0.000226434,0.000213855,0.000100638,6.29E-05,5.03E-05,5.03E-05,2.52E-05,0,1.26E-05,3.77E-05,42.77,68.098,-0.304,-0.036,-0.484,0.296,-0.004,-0.008,0.004,0.019,0,-0.005
00:26.5,3.96E+01,6.66E-05,0.000146613,0.000226584,0.000186599,0.00017327,0.000159942,4.00E-05,2.67E-05,2.67E-05,2.67E-05,0,1.33E-05,1.33E-05,4.00E-05,42.768,68.13,-0.277,0.001,-0.541,0.458,0.441,-0.061,0.685,0.146,0.569,0.624
00:26.5,3.58E+01,5.89E-05,0.000162046,0.000235704,0.000220972,0.000250435,0.000235704,0.00010312,8.84E-05,5.89E-05,4.42E-05,2.95E-05,0,1.47E-05,4.42E-05,42.768,68.13,-0.264,-0.036,-0.484,0.299,-0.004,-0.008,0.004,0.025,0,-0.005
00:44.5,4.67E+01,6.79E-05,0.000147017,0.000214871,0.000180944,0.000158326,0.000158326,4.52E-05,3.39E-05,3.39E-05,2.26E-05,2.26E-05,1.13E-05,1.13E-05,3.39E-05,42.768,68.13,-0.277,0.001,-0.541,0.458,0.441,-0.061,0.685,0.146,0.565,0.624
00:44.5,4.24E+01,6.22E-05,0.000149279,0.000223919,0.000199039,0.000223919,0.000211479,9.95E-05,6.22E-05,6.22E-05,4.98E-05,3.73E-05,1.24E-05,1.24E-05,2.49E-05,42.768,68.13,-0.301,-0.036,-0.484,0.296,0.323,-0.008,0.004,-0.017,0,-0.005
01:02.5,4.39E+01,6.02E-05,0.000144464,0.000204657,0.000168541,0.000156502,0.000156502,3.61E-05,2.41E-05,2.41E-05,1.20E-05,2.41E-05,1.20E-05,1.20E-05,2.41E-05,42.768,68.13,-0.277,0.001,-0.541,0.458,0.441,-0.061,0.685,0.146,0.572,0.624
01:02.5,4.15E+01,6.36E-05,0.000152672,0.00024173,0.00024173,0.000254453,0.00024173,0.000139949,8.91E-05,7.63E-05,5.09E-05,3.82E-05,0,1.27E-05,5.09E-05,42.768,68.13,-0.267,-0.036,-0.484,0.296,0.745,-0.008,0.004,0.025,0,-0.005
01:20.5,4.06E+01,6.51E-05,0.000156222,0.000208296,0.000182259,0.000169241,0.000169241,5.21E-05,2.60E-05,2.60E-05,2.60E-05,0,1.30E-05,0,2.60E-05,42.768,68.13,-0.277,0.001,-0.541,0.458,0.441,-0.061,0.685,0.146,0.569,0.624
01:20.5,4.39E+01,6.02E-05,0.000144464,0.000216695,0.000204657,0.000216695,0.000204657,0.000108348,7.22E-05,4.82E-05,3.61E-05,3.61E-05,1.20E-05,1.20E-05,2.41E-05,42.768,68.13,-0.304,-0.036,-0.484,0.299,0.27,-0.008,0.004,0.025,0,-0.005
01:38.5,4.20E+01,7.55E-05,0.000150956,0.000226435,0.000188695,0.000176116,0.000163536,5.03E-05,2.52E-05,2.52E-05,2.52E-05,2.52E-05,0,1.26E-05,3.77E-05,42.768,68.13,-0.277,0.001,-0.541,0.458,0.441,-0.061,0.685,0.146,0.569,0.624
01:38.5,4.39E+01,6.02E-05,0.000144464,0.000216695,0.000192618,0.000216695,0.000204657,9.63E-05,6.02E-05,6.02E-05,3.61E-05,3.61E-05,1.20E-05,1.20E-05,3.61E-05,42.768,68.13,-0.304,-0.036,-0.484,0.296,0.301,-0.005,0.01,0.282,0,-0.005
01:56.5,3.82E+01,6.91E-05,0.000152043,0.000221154,0.000179688,0.000165866,0.000165866,4.15E-05,2.76E-05,2.76E-05,2.76E-05,2.76E-05,1.38E-05,1.38E-05,2.76E-05,42.768,68.13,-0.277,0.001,-0.541,0.458,0.441,-0.061,0.685,0.146,0.569,0.624
01:56.5,4.81E+01,6.59E-05,0.00015367,0.000208552,0.000186599,0.000208552,0.000197575,9.88E-05,6.59E-05,5.49E-05,3.29E-05,3.29E-05,1.10E-05,1.10E-05,4.39E-05,42.768,68.13,-0.301,-0.036,-0.484,0.296,0.301,-0.008,0.01,0.668,0,-0.005
02:14.5,3.87E+01,6.83E-05,0.000150189,0.000218457,0.000177496,0.000163843,0.000163843,4.10E-05,4.10E-05,2.73E-05,2.73E-05,0,1.37E-05,1.37E-05,2.73E-05,42.768,68.13,-0.277,0.001,-0.541,0.458,0.441,-0.061,0.685,0.146,0.572,0.624
02:32.5,3.91E+01,6.74E-05,0.000161869,0.000242803,0.000202336,0.000188847,0.000175358,5.40E-05,4.05E-05,4.05E-05,2.70E-05,2.70E-05,1.35E-05,1.35E-05,4.05E-05,42.768,68.13,-0.277,0.001,-0.8,0.524,0.441,-0.061,0.685,0.146,0.569,0.624
02:32.5,3.91E+01,6.74E-05,0.000161869,0.000229314,0.000202336,0.000215825,0.000215825,0.000107913,6.74E-05,6.74E-05,4.05E-05,2.70E-05,1.35E-05,0,4.05E-05,42.768,68.13,-0.267,-0.036,-0.484,0.296,0.301,-0.008,0.004,1.148,0,-0.002
02:50.5,4.01E+01,6.59E-05,0.000144888,0.000210747,0.000184404,0.000171232,0.000171232,5.27E-05,2.63E-05,2.63E-05,1.32E-05,1.32E-05,1.32E-05,0,3.95E-05,42.768,68.13,-0.277,0.001,-0.8,0.524,0.441,-0.061,0.685,0.146,0.572,0.624
02:50.5,3.54E+01,7.46E-05,0.000164207,0.000223919,0.000194063,0.000208991,0.000194063,8.96E-05,4.48E-05,4.48E-05,2.99E-05,2.99E-05,1.49E-05,1.49E-05,2.99E-05,42.768,68.13,-0.304,-0.036,-0.484,0.296,0.301,-0.008,0.304,0.789,0,-0.002
03:08.5,4.39E+01,7.22E-05,0.000144464,0.000228734,0.000192618,0.000168541,0.000168541,4.82E-05,3.61E-05,3.61E-05,2.41E-05,2.41E-05,1.20E-05,0,3.61E-05,42.768,68.13,-0.227,0.001,-0.8,0.455,0.441,-0.061,0.685,0.146,0.572,0.624
03:08.5,4.53E+01,7.00E-05,0.000151612,0.000221586,0.000186599,0.000186599,0.000186599,0.000116624,7.00E-05,5.83E-05,4.66E-05,3.50E-05,0,0,3.50E-05,42.768,68.13,-0.27,-0.036,-0.484,0.299,0.301,-0.008,0.715,0.789,0,-0.005
03:26.5,4.29E+01,7.38E-05,0.000147639,0.000221458,0.000196851,0.000172245,0.000172245,4.92E-05,3.69E-05,3.69E-05,1.23E-05,2.46E-05,1.23E-05,1.23E-05,3.69E-05,42.768,68.13,-0.221,0.001,-0.8,0.452,0.441,-0.061,0.685,0.146,0.572,0.624
03:26.5,3.58E+01,7.37E-05,0.000162046,0.000235704,0.000191509,0.000176778,0.000176778,0.000132583,8.84E-05,7.37E-05,4.42E-05,4.42E-05,1.47E-05,1.47E-05,4.42E-05,42.768,68.13,-0.304,-0.036,-0.484,0.299,0.301,-0.005,1.354,0.792,0,-0.002
03:44.5,4.67E+01,6.79E-05,0.000147017,0.00022618,0.000192253,0.000169635,0.000169635,4.52E-05,3.39E-05,3.39E-05,1.13E-05,2.26E-05,1.13E-05,0,2.26E-05,42.768,68.13,-0.141,0.001,-0.8,0.527,0.441,-0.061,0.685,0.146,0.569,0.624
